departamento,ano,semana,casos_dengue
LA LIBERTAD,2018,1,1
LA LIBERTAD,2018,7,1
LA LIBERTAD,2018,8,1
LA LIBERTAD,2019,2,9
LA LIBERTAD,2019,3,10
LA LIBERTAD,2019,4,4
LA LIBERTAD,2019,5,18
LA LIBERTAD,2019,6,6
LA LIBERTAD,2019,7,9
LA LIBERTAD,2019,8,9
LA LIBERTAD,2019,9,6
LA LIBERTAD,2019,10,8
LA LIBERTAD,2019,11,14
LA LIBERTAD,2019,12,15
LA LIBERTAD,2019,13,36
LA LIBERTAD,2019,14,33
LA LIBERTAD,2019,15,11
LA LIBERTAD,2019,16,20
LA LIBERTAD,2019,17,18
LA LIBERTAD,2019,18,13
LA LIBERTAD,2019,19,22
LA LIBERTAD,2019,20,16
LA LIBERTAD,2019,21,13
LA LIBERTAD,2019,22,13
LA LIBERTAD,2019,23,12
LA LIBERTAD,2019,24,10
LA LIBERTAD,2019,25,6
LA LIBERTAD,2019,26,5
LA LIBERTAD,2019,27,5
LA LIBERTAD,2019,28,1
LA LIBERTAD,2019,29,3
LA LIBERTAD,2019,30,6
LA LIBERTAD,2019,31,3
LA LIBERTAD,2019,34,1
LA LIBERTAD,2019,35,1
LA LIBERTAD,2019,36,1
LA LIBERTAD,2019,40,1
LA LIBERTAD,2019,41,1
LA LIBERTAD,2019,45,1
LA LIBERTAD,2019,47,1
LA LIBERTAD,2019,48,1
LA LIBERTAD,2019,50,2
LA LIBERTAD,2019,52,2
LA LIBERTAD,2020,2,1
LA LIBERTAD,2020,3,1
LA LIBERTAD,2020,4,12
LA LIBERTAD,2020,5,16
LA LIBERTAD,2020,6,9
LA LIBERTAD,2020,7,4
LA LIBERTAD,2020,8,3
LA LIBERTAD,2020,9,7
LA LIBERTAD,2020,10,14
LA LIBERTAD,2020,11,11
LA LIBERTAD,2020,12,18
LA LIBERTAD,2020,13,21
LA LIBERTAD,2020,14,27
LA LIBERTAD,2020,15,19
LA LIBERTAD,2020,16,40
LA LIBERTAD,2020,17,49
LA LIBERTAD,2020,18,37
LA LIBERTAD,2020,19,38
LA LIBERTAD,2020,20,17
LA LIBERTAD,2020,21,19
LA LIBERTAD,2020,22,8
LA LIBERTAD,2020,23,4
LA LIBERTAD,2020,24,5
LA LIBERTAD,2020,27,1
LA LIBERTAD,2020,28,1
LA LIBERTAD,2020,29,1
LA LIBERTAD,2020,31,1
LA LIBERTAD,2020,34,1
LA LIBERTAD,2020,35,1
LA LIBERTAD,2020,44,1
LA LIBERTAD,2020,46,1
LA LIBERTAD,2020,53,2
LA LIBERTAD,2021,5,1
LA LIBERTAD,2021,9,5
LA LIBERTAD,2021,10,44
LA LIBERTAD,2021,11,25
LA LIBERTAD,2021,12,10
LA LIBERTAD,2021,13,12
LA LIBERTAD,2021,14,14
LA LIBERTAD,2021,15,11
LA LIBERTAD,2021,16,11
LA LIBERTAD,2021,17,8
LA LIBERTAD,2021,18,4
LA LIBERTAD,2021,19,7
LA LIBERTAD,2021,20,7
LA LIBERTAD,2021,21,20
LA LIBERTAD,2021,22,30
LA LIBERTAD,2021,23,25
LA LIBERTAD,2021,24,9
LA LIBERTAD,2021,25,6
LA LIBERTAD,2021,26,1
LA LIBERTAD,2021,27,1
LA LIBERTAD,2021,28,1
LA LIBERTAD,2021,29,1
LA LIBERTAD,2021,31,1
LA LIBERTAD,2021,32,1
LA LIBERTAD,2021,33,3
LA LIBERTAD,2021,34,2
LA LIBERTAD,2021,39,2
LA LIBERTAD,2022,10,2
LA LIBERTAD,2022,11,4
LA LIBERTAD,2022,12,4
LA LIBERTAD,2022,13,4
LA LIBERTAD,2022,14,6
LA LIBERTAD,2022,15,4
LA LIBERTAD,2022,16,18
LA LIBERTAD,2022,17,23
LA LIBERTAD,2022,18,31
LA LIBERTAD,2022,19,17
LA LIBERTAD,2022,20,4
LA LIBERTAD,2022,21,9
LA LIBERTAD,2022,22,10
LA LIBERTAD,2022,23,11
LA LIBERTAD,2022,24,1
LA LIBERTAD,2022,25,2
LA LIBERTAD,2022,27,2
LA LIBERTAD,2022,33,4
LA LIBERTAD,2022,34,1
LA LIBERTAD,2022,36,1
LA LIBERTAD,2022,39,1
LA LIBERTAD,2022,50,1
LA LIBERTAD,2022,51,1
LA LIBERTAD,2022,52,1
LA LIBERTAD,2023,1,1
LA LIBERTAD,2023,2,1
LA LIBERTAD,2023,4,2
LA LIBERTAD,2023,5,1
LA LIBERTAD,2023,6,1
LA LIBERTAD,2023,7,6
LA LIBERTAD,2023,8,26
LA LIBERTAD,2023,9,46
LA LIBERTAD,2023,10,46
LA LIBERTAD,2023,11,56
LA LIBERTAD,2023,12,82
LA LIBERTAD,2023,13,89
LA LIBERTAD,2023,14,117
LA LIBERTAD,2023,15,177
LA LIBERTAD,2023,16,323
LA LIBERTAD,2023,17,575
LA LIBERTAD,2023,18,827
LA LIBERTAD,2023,19,971
LA LIBERTAD,2023,20,1322
LA LIBERTAD,2023,21,1377
LA LIBERTAD,2023,22,1311
LA LIBERTAD,2023,23,1601
LA LIBERTAD,2023,24,1622
LA LIBERTAD,2023,25,1142
LA LIBERTAD,2023,26,1274
LA LIBERTAD,2023,27,1272
LA LIBERTAD,2023,28,1422
LA LIBERTAD,2023,29,1273
LA LIBERTAD,2023,30,982
LA LIBERTAD,2023,31,1132
LA LIBERTAD,2023,32,979
LA LIBERTAD,2023,33,737
LA LIBERTAD,2023,34,613
LA LIBERTAD,2023,35,497
LA LIBERTAD,2023,36,473
LA LIBERTAD,2023,37,407
LA LIBERTAD,2023,38,374
LA LIBERTAD,2023,39,348
LA LIBERTAD,2023,40,331
LA LIBERTAD,2023,41,286
LA LIBERTAD,2023,42,304
LA LIBERTAD,2023,43,260
LA LIBERTAD,2023,44,257
LA LIBERTAD,2023,45,262
LA LIBERTAD,2023,46,212
LA LIBERTAD,2023,47,214
LA LIBERTAD,2023,48,221
LA LIBERTAD,2023,49,173
LA LIBERTAD,2023,50,159
LA LIBERTAD,2023,51,153
LA LIBERTAD,2023,52,165
LIMA,2018,3,1
LIMA,2018,18,3
LIMA,2018,19,5
LIMA,2018,20,1
LIMA,2018,48,1
LIMA,2019,4,1
LIMA,2019,5,1
LIMA,2019,6,1
LIMA,2019,7,8
LIMA,2019,8,6
LIMA,2019,9,8
LIMA,2019,10,12
LIMA,2019,11,1
LIMA,2019,12,4
LIMA,2019,17,2
LIMA,2019,18,1
LIMA,2019,52,1
LIMA,2020,5,2
LIMA,2020,6,1
LIMA,2020,7,1
LIMA,2020,8,6
LIMA,2020,9,2
LIMA,2020,10,2
LIMA,2020,11,4
LIMA,2020,12,6
LIMA,2020,13,18
LIMA,2020,14,10
LIMA,2020,15,25
LIMA,2020,16,42
LIMA,2020,17,47
LIMA,2020,18,55
LIMA,2020,19,32
LIMA,2020,20,36
LIMA,2020,21,20
LIMA,2020,22,7
LIMA,2020,23,7
LIMA,2020,24,9
LIMA,2020,25,3
LIMA,2020,28,1
LIMA,2020,29,1
LIMA,2020,32,1
LIMA,2020,34,2
LIMA,2020,39,1
LIMA,2020,41,1
LIMA,2020,45,2
LIMA,2020,46,2
LIMA,2020,47,2
LIMA,2020,51,1
LIMA,2020,53,1
LIMA,2021,4,1
LIMA,2021,6,2
LIMA,2021,7,2
LIMA,2021,8,2
LIMA,2021,9,2
LIMA,2021,10,30
LIMA,2021,11,93
LIMA,2021,12,109
LIMA,2021,13,111
LIMA,2021,14,130
LIMA,2021,15,152
LIMA,2021,16,147
LIMA,2021,17,93
LIMA,2021,18,76
LIMA,2021,19,69
LIMA,2021,20,65
LIMA,2021,21,38
LIMA,2021,22,28
LIMA,2021,23,11
LIMA,2021,24,7
LIMA,2021,25,4
LIMA,2021,26,2
LIMA,2021,27,4
LIMA,2021,29,1
LIMA,2021,30,1
LIMA,2021,32,3
LIMA,2021,38,1
LIMA,2021,40,1
LIMA,2021,47,1
LIMA,2021,48,2
LIMA,2021,52,2
LIMA,2022,1,2
LIMA,2022,3,2
LIMA,2022,4,1
LIMA,2022,5,1
LIMA,2022,6,2
LIMA,2022,7,4
LIMA,2022,8,7
LIMA,2022,9,9
LIMA,2022,10,12
LIMA,2022,11,40
LIMA,2022,12,63
LIMA,2022,13,81
LIMA,2022,14,90
LIMA,2022,15,78
LIMA,2022,16,101
LIMA,2022,17,99
LIMA,2022,18,95
LIMA,2022,19,88
LIMA,2022,20,64
LIMA,2022,21,39
LIMA,2022,22,16
LIMA,2022,23,16
LIMA,2022,24,5
LIMA,2022,25,4
LIMA,2022,26,1
LIMA,2022,27,3
LIMA,2022,28,1
LIMA,2022,29,3
LIMA,2022,30,1
LIMA,2022,31,1
LIMA,2022,33,2
LIMA,2022,37,1
LIMA,2022,41,2
LIMA,2022,44,1
LIMA,2022,45,1
LIMA,2022,48,1
LIMA,2022,49,1
LIMA,2023,1,1
LIMA,2023,3,1
LIMA,2023,4,3
LIMA,2023,5,3
LIMA,2023,6,7
LIMA,2023,7,8
LIMA,2023,8,20
LIMA,2023,9,15
LIMA,2023,10,22
LIMA,2023,11,69
LIMA,2023,12,154
LIMA,2023,13,218
LIMA,2023,14,363
LIMA,2023,15,819
LIMA,2023,16,1400
LIMA,2023,17,1660
LIMA,2023,18,2672
LIMA,2023,19,2986
LIMA,2023,20,3364
LIMA,2023,21,3062
LIMA,2023,22,2822
LIMA,2023,23,2240
LIMA,2023,24,1888
LIMA,2023,25,1562
LIMA,2023,26,1026
LIMA,2023,27,862
LIMA,2023,28,739
LIMA,2023,29,499
LIMA,2023,30,350
LIMA,2023,31,291
LIMA,2023,32,291
LIMA,2023,33,229
LIMA,2023,34,177
LIMA,2023,35,148
LIMA,2023,36,136
LIMA,2023,37,87
LIMA,2023,38,58
LIMA,2023,39,66
LIMA,2023,40,48
LIMA,2023,41,56
LIMA,2023,42,41
LIMA,2023,43,37
LIMA,2023,44,28
LIMA,2023,45,25
LIMA,2023,46,31
LIMA,2023,47,32
LIMA,2023,48,16
LIMA,2023,49,24
LIMA,2023,50,24
