departamento,ano,semana,casos_dengue,fecha
LA LIBERTAD,2018,1,1,2018-01-01
LA LIBERTAD,2018,2,0,2018-01-08
LA LIBERTAD,2018,3,0,2018-01-15
LA LIBERTAD,2018,4,0,2018-01-22
LA LIBERTAD,2018,5,0,2018-01-29
LA LIBERTAD,2018,6,0,2018-02-05
LA LIBERTAD,2018,7,1,2018-02-12
LA LIBERTAD,2018,8,1,2018-02-19
LA LIBERTAD,2018,9,0,2018-02-26
LA LIBERTAD,2018,10,0,2018-03-05
LA LIBERTAD,2018,11,0,2018-03-12
LA LIBERTAD,2018,12,0,2018-03-19
LA LIBERTAD,2018,13,0,2018-03-26
LA LIBERTAD,2018,14,0,2018-04-02
LA LIBERTAD,2018,15,0,2018-04-09
LA LIBERTAD,2018,16,0,2018-04-16
LA LIBERTAD,2018,17,0,2018-04-23
LA LIBERTAD,2018,18,0,2018-04-30
LA LIBERTAD,2018,19,0,2018-05-07
LA LIBERTAD,2018,20,0,2018-05-14
LA LIBERTAD,2018,21,0,2018-05-21
LA LIBERTAD,2018,22,0,2018-05-28
LA LIBERTAD,2018,23,0,2018-06-04
LA LIBERTAD,2018,24,0,2018-06-11
LA LIBERTAD,2018,25,0,2018-06-18
LA LIBERTAD,2018,26,0,2018-06-25
LA LIBERTAD,2018,27,0,2018-07-02
LA LIBERTAD,2018,28,0,2018-07-09
LA LIBERTAD,2018,29,0,2018-07-16
LA LIBERTAD,2018,30,0,2018-07-23
LA LIBERTAD,2018,31,0,2018-07-30
LA LIBERTAD,2018,32,0,2018-08-06
LA LIBERTAD,2018,33,0,2018-08-13
LA LIBERTAD,2018,34,0,2018-08-20
LA LIBERTAD,2018,35,0,2018-08-27
LA LIBERTAD,2018,36,0,2018-09-03
LA LIBERTAD,2018,37,0,2018-09-10
LA LIBERTAD,2018,38,0,2018-09-17
LA LIBERTAD,2018,39,0,2018-09-24
LA LIBERTAD,2018,40,0,2018-10-01
LA LIBERTAD,2018,41,0,2018-10-08
LA LIBERTAD,2018,42,0,2018-10-15
LA LIBERTAD,2018,43,0,2018-10-22
LA LIBERTAD,2018,44,0,2018-10-29
LA LIBERTAD,2018,45,0,2018-11-05
LA LIBERTAD,2018,46,0,2018-11-12
LA LIBERTAD,2018,47,0,2018-11-19
LA LIBERTAD,2018,48,0,2018-11-26
LA LIBERTAD,2018,49,0,2018-12-03
LA LIBERTAD,2018,50,0,2018-12-10
LA LIBERTAD,2018,51,0,2018-12-17
LA LIBERTAD,2018,52,0,2018-12-24
LA LIBERTAD,2019,1,0,2019-01-07
LA LIBERTAD,2019,2,9,2019-01-14
LA LIBERTAD,2019,3,10,2019-01-21
LA LIBERTAD,2019,4,4,2019-01-28
LA LIBERTAD,2019,5,18,2019-02-04
LA LIBERTAD,2019,6,6,2019-02-11
LA LIBERTAD,2019,7,9,2019-02-18
LA LIBERTAD,2019,8,9,2019-02-25
LA LIBERTAD,2019,9,6,2019-03-04
LA LIBERTAD,2019,10,8,2019-03-11
LA LIBERTAD,2019,11,14,2019-03-18
LA LIBERTAD,2019,12,15,2019-03-25
LA LIBERTAD,2019,13,36,2019-04-01
LA LIBERTAD,2019,14,33,2019-04-08
LA LIBERTAD,2019,15,11,2019-04-15
LA LIBERTAD,2019,16,20,2019-04-22
LA LIBERTAD,2019,17,18,2019-04-29
LA LIBERTAD,2019,18,13,2019-05-06
LA LIBERTAD,2019,19,22,2019-05-13
LA LIBERTAD,2019,20,16,2019-05-20
LA LIBERTAD,2019,21,13,2019-05-27
LA LIBERTAD,2019,22,13,2019-06-03
LA LIBERTAD,2019,23,12,2019-06-10
LA LIBERTAD,2019,24,10,2019-06-17
LA LIBERTAD,2019,25,6,2019-06-24
LA LIBERTAD,2019,26,5,2019-07-01
LA LIBERTAD,2019,27,5,2019-07-08
LA LIBERTAD,2019,28,1,2019-07-15
LA LIBERTAD,2019,29,3,2019-07-22
LA LIBERTAD,2019,30,6,2019-07-29
LA LIBERTAD,2019,31,3,2019-08-05
LA LIBERTAD,2019,32,0,2019-08-12
LA LIBERTAD,2019,33,0,2019-08-19
LA LIBERTAD,2019,34,1,2019-08-26
LA LIBERTAD,2019,35,1,2019-09-02
LA LIBERTAD,2019,36,1,2019-09-09
LA LIBERTAD,2019,37,0,2019-09-16
LA LIBERTAD,2019,38,0,2019-09-23
LA LIBERTAD,2019,39,0,2019-09-30
LA LIBERTAD,2019,40,1,2019-10-07
LA LIBERTAD,2019,41,1,2019-10-14
LA LIBERTAD,2019,42,0,2019-10-21
LA LIBERTAD,2019,43,0,2019-10-28
LA LIBERTAD,2019,44,0,2019-11-04
LA LIBERTAD,2019,45,1,2019-11-11
LA LIBERTAD,2019,46,0,2019-11-18
LA LIBERTAD,2019,47,1,2019-11-25
LA LIBERTAD,2019,48,1,2019-12-02
LA LIBERTAD,2019,49,0,2019-12-09
LA LIBERTAD,2019,50,2,2019-12-16
LA LIBERTAD,2019,51,0,2019-12-23
LA LIBERTAD,2019,52,2,2019-12-30
LA LIBERTAD,2020,1,0,2020-01-06
LA LIBERTAD,2020,2,1,2020-01-13
LA LIBERTAD,2020,3,1,2020-01-20
LA LIBERTAD,2020,4,12,2020-01-27
LA LIBERTAD,2020,5,16,2020-02-03
LA LIBERTAD,2020,6,9,2020-02-10
LA LIBERTAD,2020,7,4,2020-02-17
LA LIBERTAD,2020,8,3,2020-02-24
LA LIBERTAD,2020,9,7,2020-03-02
LA LIBERTAD,2020,10,14,2020-03-09
LA LIBERTAD,2020,11,11,2020-03-16
LA LIBERTAD,2020,12,18,2020-03-23
LA LIBERTAD,2020,13,21,2020-03-30
LA LIBERTAD,2020,14,27,2020-04-06
LA LIBERTAD,2020,15,19,2020-04-13
LA LIBERTAD,2020,16,40,2020-04-20
LA LIBERTAD,2020,17,49,2020-04-27
LA LIBERTAD,2020,18,37,2020-05-04
LA LIBERTAD,2020,19,38,2020-05-11
LA LIBERTAD,2020,20,17,2020-05-18
LA LIBERTAD,2020,21,19,2020-05-25
LA LIBERTAD,2020,22,8,2020-06-01
LA LIBERTAD,2020,23,4,2020-06-08
LA LIBERTAD,2020,24,5,2020-06-15
LA LIBERTAD,2020,25,0,2020-06-22
LA LIBERTAD,2020,26,0,2020-06-29
LA LIBERTAD,2020,27,1,2020-07-06
LA LIBERTAD,2020,28,1,2020-07-13
LA LIBERTAD,2020,29,1,2020-07-20
LA LIBERTAD,2020,30,0,2020-07-27
LA LIBERTAD,2020,31,1,2020-08-03
LA LIBERTAD,2020,32,0,2020-08-10
LA LIBERTAD,2020,33,0,2020-08-17
LA LIBERTAD,2020,34,1,2020-08-24
LA LIBERTAD,2020,35,1,2020-08-31
LA LIBERTAD,2020,36,0,2020-09-07
LA LIBERTAD,2020,37,0,2020-09-14
LA LIBERTAD,2020,38,0,2020-09-21
LA LIBERTAD,2020,39,0,2020-09-28
LA LIBERTAD,2020,40,0,2020-10-05
LA LIBERTAD,2020,41,0,2020-10-12
LA LIBERTAD,2020,42,0,2020-10-19
LA LIBERTAD,2020,43,0,2020-10-26
LA LIBERTAD,2020,44,1,2020-11-02
LA LIBERTAD,2020,45,0,2020-11-09
LA LIBERTAD,2020,46,1,2020-11-16
LA LIBERTAD,2020,47,0,2020-11-23
LA LIBERTAD,2020,48,0,2020-11-30
LA LIBERTAD,2020,49,0,2020-12-07
LA LIBERTAD,2020,50,0,2020-12-14
LA LIBERTAD,2020,51,0,2020-12-21
LA LIBERTAD,2020,52,0,2020-12-28
LA LIBERTAD,2021,1,0,2021-01-04
LA LIBERTAD,2021,2,0,2021-01-11
LA LIBERTAD,2021,3,0,2021-01-18
LA LIBERTAD,2021,4,0,2021-01-25
LA LIBERTAD,2021,5,1,2021-02-01
LA LIBERTAD,2021,6,0,2021-02-08
LA LIBERTAD,2021,7,0,2021-02-15
LA LIBERTAD,2021,8,0,2021-02-22
LA LIBERTAD,2021,9,5,2021-03-01
LA LIBERTAD,2021,10,44,2021-03-08
LA LIBERTAD,2021,11,25,2021-03-15
LA LIBERTAD,2021,12,10,2021-03-22
LA LIBERTAD,2021,13,12,2021-03-29
LA LIBERTAD,2021,14,14,2021-04-05
LA LIBERTAD,2021,15,11,2021-04-12
LA LIBERTAD,2021,16,11,2021-04-19
LA LIBERTAD,2021,17,8,2021-04-26
LA LIBERTAD,2021,18,4,2021-05-03
LA LIBERTAD,2021,19,7,2021-05-10
LA LIBERTAD,2021,20,7,2021-05-17
LA LIBERTAD,2021,21,20,2021-05-24
LA LIBERTAD,2021,22,30,2021-05-31
LA LIBERTAD,2021,23,25,2021-06-07
LA LIBERTAD,2021,24,9,2021-06-14
LA LIBERTAD,2021,25,6,2021-06-21
LA LIBERTAD,2021,26,1,2021-06-28
LA LIBERTAD,2021,27,1,2021-07-05
LA LIBERTAD,2021,28,1,2021-07-12
LA LIBERTAD,2021,29,1,2021-07-19
LA LIBERTAD,2021,30,0,2021-07-26
LA LIBERTAD,2021,31,1,2021-08-02
LA LIBERTAD,2021,32,1,2021-08-09
LA LIBERTAD,2021,33,3,2021-08-16
LA LIBERTAD,2021,34,2,2021-08-23
LA LIBERTAD,2021,35,0,2021-08-30
LA LIBERTAD,2021,36,0,2021-09-06
LA LIBERTAD,2021,37,0,2021-09-13
LA LIBERTAD,2021,38,0,2021-09-20
LA LIBERTAD,2021,39,2,2021-09-27
LA LIBERTAD,2021,40,0,2021-10-04
LA LIBERTAD,2021,41,0,2021-10-11
LA LIBERTAD,2021,42,0,2021-10-18
LA LIBERTAD,2021,43,0,2021-10-25
LA LIBERTAD,2021,44,0,2021-11-01
LA LIBERTAD,2021,45,0,2021-11-08
LA LIBERTAD,2021,46,0,2021-11-15
LA LIBERTAD,2021,47,0,2021-11-22
LA LIBERTAD,2021,48,0,2021-11-29
LA LIBERTAD,2021,49,0,2021-12-06
LA LIBERTAD,2021,50,0,2021-12-13
LA LIBERTAD,2021,51,0,2021-12-20
LA LIBERTAD,2021,52,0,2021-12-27
LA LIBERTAD,2022,1,0,2022-01-03
LA LIBERTAD,2022,2,0,2022-01-10
LA LIBERTAD,2022,3,0,2022-01-17
LA LIBERTAD,2022,4,0,2022-01-24
LA LIBERTAD,2022,5,0,2022-01-31
LA LIBERTAD,2022,6,0,2022-02-07
LA LIBERTAD,2022,7,0,2022-02-14
LA LIBERTAD,2022,8,0,2022-02-21
LA LIBERTAD,2022,9,0,2022-02-28
LA LIBERTAD,2022,10,2,2022-03-07
LA LIBERTAD,2022,11,4,2022-03-14
LA LIBERTAD,2022,12,4,2022-03-21
LA LIBERTAD,2022,13,4,2022-03-28
LA LIBERTAD,2022,14,6,2022-04-04
LA LIBERTAD,2022,15,4,2022-04-11
LA LIBERTAD,2022,16,18,2022-04-18
LA LIBERTAD,2022,17,23,2022-04-25
LA LIBERTAD,2022,18,31,2022-05-02
LA LIBERTAD,2022,19,17,2022-05-09
LA LIBERTAD,2022,20,4,2022-05-16
LA LIBERTAD,2022,21,9,2022-05-23
LA LIBERTAD,2022,22,10,2022-05-30
LA LIBERTAD,2022,23,11,2022-06-06
LA LIBERTAD,2022,24,1,2022-06-13
LA LIBERTAD,2022,25,2,2022-06-20
LA LIBERTAD,2022,26,0,2022-06-27
LA LIBERTAD,2022,27,2,2022-07-04
LA LIBERTAD,2022,28,0,2022-07-11
LA LIBERTAD,2022,29,0,2022-07-18
LA LIBERTAD,2022,30,0,2022-07-25
LA LIBERTAD,2022,31,0,2022-08-01
LA LIBERTAD,2022,32,0,2022-08-08
LA LIBERTAD,2022,33,4,2022-08-15
LA LIBERTAD,2022,34,1,2022-08-22
LA LIBERTAD,2022,35,0,2022-08-29
